1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000
36802	37047	36757	30640	30778	25236	25376	23408	23975	21382	20384	17654	17209	17632	17295	16728	15683	15125	13718	12768	11870
2398	2089	1988	1759	2165	1384	1472	1269	1338	1292	1323	1102	1136	1197	1181	1117	1097	1032	1000	905	783
959	816	781	667	831	655	668	576	641	605	651	576	568	567	551	595	579	471	506	482	428
536	518	476	450	505	462	463	429	382	440	436	396	394	391	380	366	353	346	350	346	315
416	405	366	346	423	350	385	355	335	339	367	299	303	330	300	328	278	288	263	255	251
341	309	318	304	341	298	308	290	319	288	287	262	245	259	258	263	234	205	226	239	191
295	289	276	225	260	270	281	267	261	310	253	250	226	269	235	232	219	220	192	212	182
262	282	260	265	304	281	253	289	260	286	273	239	255	231	248	247	225	197	180	181	174
220	279	241	236	229	245	248	237	295	266	272	218	226	225	232	215	236	195	172	184	180
243	232	214	225	260	240	237	241	232	255	266	233	220	223	207	203	215	208	204	179	167
218	238	223	206	202	250	226	235	230	254	222	228	216	234	225	228	237	223	192	185	161
261	192	226	216	237	229	259	226	261	261	239	253	248	277	259	240	257	252	187	209	203
256	246	242	269	243	252	268	284	262	259	272	250	248	254	304	297	290	268	279	211	226
296	299	246	281	307	318	343	339	316	320	337	299	289	321	340	342	374	340	280	265	290
379	364	336	331	370	382	404	429	403	385	427	395	409	405	427	457	472	461	382	424	392
452	404	421	436	495	518	535	555	552	535	546	553	513	535	540	601	641	622	605	553	582
505	579	549	504	594	648	662	672	672	753	748	765	713	698	698	766	794	818	802	843	798
646	656	615	657	711	729	835	820	772	866	935	916	843	810	949	876	973	968	1032	1095	1160
687	723	660	842	860	944	996	998	887	1089	1131	1017	967	1023	1104	1129	1174	1124	1168	1292	1323
757	733	752	826	923	1010	1076	1010	1040	1186	1191	1115	1012	993	1187	1238	1296	1275	1360	1379	1402
762	799	775	935	1017	1011	1066	1080	1037	1229	1205	1146	1134	1176	1274	1342	1365	1357	1385	1439	1513
821	815	833	863	948	973	1036	1193	1100	1234	1326	1234	1165	1230	1314	1303	1421	1418	1363	1508	1499
838	877	798	949	975	1008	1128	1129	1098	1211	1295	1282	1190	1235	1339	1414	1367	1431	1382	1412	1425
812	892	833	906	988	1033	1103	1114	1065	1252	1301	1347	1217	1299	1459	1449	1440	1408	1335	1403	1493
837	860	833	997	1005	974	1000	1112	1088	1325	1269	1283	1326	1346	1491	1536	1505	1480	1343	1458	1382
817	881	867	1109	1061	1014	1099	1091	1139	1283	1304	1349	1222	1444	1466	1670	1738	1514	1580	1466	1524
860	845	791	985	1078	1016	1034	1078	1099	1216	1340	1374	1348	1419	1631	1613	1530	1449	1449	1480	1401
800	853	872	1000	1041	1012	1082	1099	1180	1213	1295	1342	1362	1490	1537	1682	1734	1575	1458	1447	1382
840	887	888	984	1087	1062	1159	1140	1161	1203	1326	1313	1423	1559	1617	1745	1696	1554	1573	1493	1420
819	864	852	941	1054	1099	1194	1171	1197	1278	1371	1420	1392	1448	1657	1711	1694	1585	1518	1508	1427
933	869	944	1198	1160	1110	1204	1363	1324	1323	1363	1373	1330	1487	1723	1969	2029	1810	1702	1676	1549
895	884	857	1036	1116	1072	1157	1163	1303	1389	1485	1386	1407	1560	1670	1798	1864	1685	1574	1558	1462
941	973	971	1032	1124	1110	1243	1273	1425	1332	1440	1464	1466	1593	1652	1783	1845	1710	1619	1603	1499
902	912	971	1097	1093	1143	1245	1303	1384	1388	1496	1468	1459	1678	1755	1787	1860	1775	1609	1698	1505
906	1004	1014	1119	1143	1127	1262	1299	1354	1472	1489	1526	1552	1604	1741	1792	1759	1715	1610	1650	1624
1012	937	1026	1219	1322	1253	1369	1410	1378	1547	1500	1581	1618	1745	1837	2149	2127	1911	1838	1865	1809
1046	994	949	1085	1181	1141	1336	1305	1342	1450	1521	1589	1604	1727	1817	1995	1919	1766	1715	1759	1701
1063	1056	976	1113	1234	1307	1362	1348	1419	1501	1498	1663	1606	1728	1805	2035	1980	1829	1795	1774	1795
1098	1082	1053	1137	1273	1279	1375	1376	1444	1553	1593	1531	1609	1787	1818	2059	2113	1925	1880	1853	1846
1129	1049	1112	1206	1223	1250	1350	1422	1429	1489	1586	1637	1643	1851	1939	2022	2052	1970	1942	1906	1838
1274	1153	1160	1410	1400	1432	1502	1550	1539	1572	1705	1632	1679	1852	1974	2235	2258	2239	2112	2065	2109
1216	1290	1189	1248	1319	1301	1410	1433	1562	1619	1613	1676	1702	1841	1953	2115	2110	2119	1930	2017	2019
1267	1244	1297	1279	1339	1396	1511	1430	1570	1660	1599	1717	1749	1899	1868	1990	2180	2095	2086	2080	2111
1372	1307	1284	1451	1368	1493	1508	1551	1645	1592	1682	1776	1815	1929	1956	2106	2162	2073	2165	2136	2190
1412	1398	1377	1461	1525	1439	1524	1575	1663	1642	1664	1720	1770	1886	2096	2072	2164	2139	2136	2196	2230
1522	1485	1479	1496	1669	1672	1652	1587	1768	1788	1734	1736	1848	2061	2020	2314	2332	2256	2310	2304	2409
1461	1494	1529	1555	1691	1624	1788	1759	1790	1777	1824	1758	1903	2009	2094	2201	2215	2201	2218	2366	2377
1604	1509	1530	1623	1684	1705	1806	1835	1719	1802	1886	1918	1904	1983	2206	2286	2348	2270	2309	2445	2488
1620	1600	1542	1791	1782	1727	1854	1920	1943	1863	1902	1854	1952	2038	2102	2338	2452	2331	2385	2447	2522
1728	1641	1644	1740	1863	1887	1852	1947	1966	2006	1967	1850	2021	2092	2133	2266	2349	2349	2464	2481	2515
1881	1836	1699	1984	1891	1980	2074	2049	2200	2077	2197	2071	2037	2254	2358	2430	2544	2575	2627	2617	2699
1778	1903	1786	1895	1997	1805	2130	2078	2174	2180	2140	2124	2022	2132	2331	2346	2461	2449	2640	2628	2616
1894	1949	1950	2039	1996	2035	1963	2161	2284	2131	2232	2241	2280	2233	2291	2487	2550	2456	2495	2751	2779
1976	1967	1984	2125	2136	2155	2216	2130	2428	2344	2389	2209	2436	2441	2350	2450	2475	2697	2597	2649	2749
2025	2050	1996	2067	2320	2143	2244	2381	2405	2363	2525	2418	2385	2594	2560	2481	2579	2719	2750	2745	2835
2150	2114	2068	2332	2378	2423	2451	2449	2440	2383	2479	2520	2443	2631	2814	2790	2615	2668	2829	2851	2808
2104	2134	2098	2290	2323	2511	2521	2424	2599	2520	2585	2511	2689	2571	2611	2838	2900	2692	2766	2902	3073
2188	2131	2153	2350	2413	2477	2632	2643	2721	2677	2590	2555	2793	2915	2944	2823	2989	2947	2836	2915	3072
2183	2284	2224	2413	2460	2528	2628	2676	2906	2836	2805	2595	2712	3010	3067	3075	3098	3001	3080	2978	3025
2128	2161	2353	2451	2652	2703	2682	2785	3035	3066	3014	2828	2920	2993	3026	3129	3251	3124	3238	3335	3077
2294	2364	2318	2527	2719	2769	2884	2899	3128	3107	3189	3021	2929	3188	3129	3292	3524	3361	3261	3344	3488
2257	2255	2290	2414	2624	2757	2892	3002	3131	3142	3207	3195	3178	3251	3247	3261	3464	3528	3268	3444	3514
2370	2413	2449	2525	2593	2854	2938	3034	3187	3161	3334	3183	3361	3417	3359	3442	3496	3638	3646	3675	3603
2383	2373	2334	2590	2580	2757	2966	3083	3223	3264	3356	3308	3364	3706	3562	3553	3719	3459	3683	3840	3759
2531	2484	2532	2616	2815	2845	2873	3054	3300	3396	3458	3417	3549	3764	3837	3667	3902	3706	3643	3977	3982
2638	2636	2603	2776	2781	2891	2956	2962	3378	3493	3590	3494	3596	3817	3953	3987	3983	3909	3767	3801	4065
2692	2683	2696	2628	2862	2960	2932	3007	3379	3346	3422	3535	3630	3895	4022	3964	4314	4141	3975	3990	4125
2748	2764	2809	2864	2921	3001	2962	3151	3279	3299	3599	3483	3718	4013	4067	4019	4238	4353	4211	4111	4154
2776	2842	2795	3137	2952	3019	3272	3110	3436	3328	3538	3545	3625	4078	4000	4306	4366	4305	4424	4375	4361
2853	2893	2873	3040	3105	3203	3093	3252	3424	3481	3591	3423	3806	4052	4156	4204	4471	4334	4386	4829	4531
2904	2921	2883	3024	3180	3209	3287	3278	3563	3459	3687	3619	3616	4141	4241	4228	4497	4536	4756	4654	4839
2785	2890	2779	3053	3050	3263	3486	3339	3461	3543	3576	3598	3736	3891	4098	4271	4505	4512	4688	4823	4858
2906	2939	2933	3062	3213	3279	3403	3495	3673	3442	3758	3495	3785	4019	4048	4374	4592	4579	4561	4819	4862
2977	2960	2839	3116	3202	3425	3399	3417	3750	3575	3814	3488	3750	3952	4105	4094	4440	4607	4781	4848	4952
2959	2861	2839	3096	3237	3320	3351	3415	3680	3810	3893	3588	3751	3933	4109	4042	4309	4637	4366	4920	4913
2908	2891	3101	3133	3164	3424	3447	3461	3765	3688	3868	3822	3657	4149	4004	4087	4182	4356	4700	4678	4931
2838	2889	2827	3021	3197	3155	3271	3457	3754	3595	3895	3859	3905	3920	4043	3875	4227	4355	4375	4756	4843
