1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000
723550.9212	711992.8121	699944.1311	688096.9856	676351.5117	664697.5469	653135.5439	641679.8095	630333.5073	619090.0293	607996.0031	596807.1506	603106.8885	609169.7473	615158.0713	620811.9568	626092.4521	631206.529	636491.7547	641735.2717	646264.76
684534.5669	678157.7282	671285.4093	664444.5779	657562.1653	650630.4569	643651.3839	636637.4949	629592.8587	622512.9817	615437.9077	608164.7409	612779.8597	617125.1685	621360.2173	625236.9586	628710.1319	631988.2927	635407.0728	638753.5223	641377.4502
648162.9192	646403.4719	644204.1191	641942.6629	639567.4654	637070.6882	634453.2186	631723.5085	628884.0514	625929.9715	622892.1015	619606.7245	622516.2202	625132.2552	627613.0163	629721.7752	631407.458	632880.4598	634474.7578	635977.5825	636759.501
614869.4606	617146.1946	619085.5499	620935.6622	622662.2153	624256.1372	625716.224	627046.0067	628245.3308	629307.8224	630253.8644	630956.5202	632193.8348	633122.0115	633900.99	634303.3589	634273.2673	634023.1503	633885.5491	633648.0412	632698.845
585113.8335	590835.5401	596353.5819	601808.9448	607181.5156	612461.0821	617644.5769	622731.1619	627718.2658	632598.2402	637381.198	641973.9671	641646.2768	640998.8746	640198.7394	639023.9625	637415.6805	635588.5355	633873.8107	632059.5051	629546.3448
559462.5958	568025.4699	576531.0951	585038.5117	593539.1854	602022.6296	610485.0142	618922.7381	627332.0451	635705.3331	644043.9003	652283.8556	650607.116	648600.2021	646445.2119	643919.6571	640964.4252	637796.5367	634746.2163	631601.909	627769.179
538392.1488	549193.7776	560078.3873	571049.5397	582107.6738	593243.1161	604452.6613	615732.0478	627078.0268	638484.9442	649947.5548	661424.7644	658739.7796	655708.0184	652537.3672	648996.5657	645030.0104	640857.2997	636807.8902	632670.7044	627846.0789
522031.8846	534489.7311	547148.7734	559981.5348	572994.6829	586180.2409	599536.6459	613060.8989	626751.7275	640607.1822	654617.854	668757.6583	665531.768	661931.9763	658202.3399	654094.3324	649559.7276	644820.7757	640206.6278	635506.7693	630105.4204
510371.5465	523920.2171	537753.5977	551834.4317	566172.4685	580761.7888	595602.664	610694.6089	626039.0549	641638.7854	657482.118	673549.2326	670372.0546	666781.5543	663066.0692	658952.1517	654402.3041	649641.2491	644998.4853	640264.1904	634795.5507
503001.478	517094.4019	531514.6877	546230.4714	561251.4294	576573.6188	592198.3652	608128.0165	624366.417	640920.9904	657778.7743	674918.6577	672471.463	669564.4401	666531.2142	663069.5053	659153.7541	655010.3693	650970.0195	646823.6747	641893.0252
499404.761	513502.0865	527927.2046	542662.2926	557714.1272	573080.4389	588762.0636	604763.6929	621090.3848	637753.0519	654737.5997	672016.5144	671033.8992	669549.4063	667933.7609	665856.9603	663303.6737	660500.4144	657779.9229	654933.9322	651243.7749
498932.6397	512517.7794	526394.2014	540560.4713	555018.5446	569767.6532	584806.4291	600141.0431	615776.1787	631724.5299	647970.6391	664478.9197	665645.3634	666289.3878	666801.9895	666831.7853	666369.0604	665638.2259	664974.915	664171.3638	662468.3308
